name,platform
Abzu,playstation-4
Alien Isolation,playstation-3
Animal Crossing Amiibo Festival,wii-u
Animal Crossing New Horizons,switch
Assassin's Creed,pc
Bayonetta,wii-u
Bayonetta 2,wii-u
Balloon Fight,NES
Batman Arkham Asylum,playstation-3
BloodBorne,playstation-4
Bubble Bobble,NES
Bulletstorm,playstation-3
Call of Duty 3,wii
Castlevania,NES
Castlevania II: Simon's Quest,NES
Castlevania: Symphony of the Night,playstation-3
Colin McRae Dirt,playstation-3
Colin McRae Rally 3,playstation-2
Dark Souls Remastered,switch
Demon's Souls,playstation-3
Destiny,playstation-4
Detroit: Become Human,playstation-4
Deus Ex Human Revolution,playstation-3
Deus Ex Mankind Divided,playstation-4
Dishonored 2,playstation-4
Dishonored Definitive Edition,playstation-4
Dishonored: Death of the Outsider,playstation-4
Donkey Kong,NES
Donkey Kong Jr.,NES
Double Dragon II: The Revenge,NES
Dr. Mario,NES
Dragon Quest VII,3ds
Dragon Quest VIII,3ds
Dragon Quest XI S: Echoes of an Elusive Age Definitive Edition,switch
Enter the Gungeon,playstation-4
Eternal Darkness Sanity's Requiem,gamecube
Excitebike,NES
F1 Race,GB
Fallout 3,playstation-3
Fallout New Vegas,playstation-3
Fifa 08,playstation-2
Fifa 11,playstation-3
Fifa 11,wii
Fifa Footbal,game-boy-advance
Fifa Football 2005,gamecube
Final Fantasy,NES
Final Fantasy VII,switch
Final Fantasy VIII Remastered,switch
Final Fantasy X,playstation-3
Final Fantasy X-2,playstation-3
Final Fantasy XIII,playstation-3
Galaga,NES
Ghosts 'n Goblins,NES
God Of War,playstation-4
Gradius,NES
Gran Turismo Concept 2002 Tokyo-Geneva,playstation-2
Grand Theft Auto V,playstation-3
Grand Theft Auto Vice City,playstation-2
Grim Fandango,switch
Harry Potter and the Philosopher's Stone,GBC
Horizon Zero Dawn Complete Edition,playstation-4
Horizon Zero Dawn Complete Edition,playstation-4
Ice Climber,NES
inFamous 2,playstation-3
Injustice,wii-u
International Superstar Soccer 2,gamecube
Journey,playstation-4
Kid Icarus,NES
King of the Zoo,GB
Kingdom Hearts,playstation-2
Kingdom Hearts -HD 1.5 ReMIX-,playstation-3
Kingdom Hearts -HD 2.5 ReMIX-,playstation-3
Kingdom Hearts 358/2 Days,ds
Kingdom Hearts Chain of Memories,game-boy-advance
Kingdom Hearts HD 2.8 -Final Chapter Prologue-,playstation-4
Kingdom Hearts II,playstation-2
Kingdom Hearts III,playstation-4
Kirby's Adventure,NES
Kirby's Dream Land,GB
Mario Bros.,NES
Mario Kart 64,nintendo-64
Mario Kart 7,3ds
Mario Kart 8,wii-u
Mario Kart Double Dash,gamecube
Mario Kart Super Circut,game-boy-advance
Mass Effect 3 Special Edition,wii-u
Medal Of Honor Allied Assault War Chest,pc
Medal of Honor Frontline,gamecube
Medal of Honor Pacific Assault,pc
Medal of Honor Vanguard,wii
Mega Man 2,NES
Metroid,NES
Metroid Fusion,game-boy-advance
