,name,platform,score,total_reviews,main_story,main_extra,avg_playthrough,normalized_score,normalized_reviews,normalized_time,playability_score
172,Super Mario Odyssey,switch,97,113,12.65,26.87,19.76,1.0,0.9338842975206612,0.022421295692183752,78.46
184,The Last Of Us Part II,playstation-4,93,121,0.0,0.0,0.0,0.9587628865979382,1.0,0.0,77.94
53,God Of War,playstation-4,94,118,0.0,0.0,0.0,0.9690721649484536,0.9752066115702479,0.0,77.71
187,The Legend of Zelda Breath of the Wild,switch,97,109,0.0,0.0,0.0,1.0,0.9008264462809917,0.0,77.02
207,Uncharted 4: A Thief's End,playstation-4,93,113,15.11,17.58,16.345,0.9587628865979382,0.9338842975206612,0.018546360227163126,76.33
203,Uncharted 2: Among Thieves,playstation-3,96,105,10.53,12.32,11.425,0.9896907216494846,0.8677685950413223,0.012963729923238835,75.78
234,Dota 2,pc,90,33,691.77,1070.84,881.305,0.9278350515463918,0.2727272727272727,1.0,74.57
3,Animal Crossing New Horizons,switch,90,111,0.0,0.0,0.0,0.9278350515463918,0.9173553719008265,0.0,73.91
183,The Last Of Us,playstation-3,95,98,0.0,0.0,0.0,0.979381443298969,0.8099173553719008,0.0,73.27
9,BloodBorne,playstation-4,92,100,0.0,0.0,0.0,0.9484536082474226,0.8264462809917356,0.0,72.22
205,Uncharted 3: Drake's Deception,playstation-3,92,97,9.1,10.66,9.879999999999999,0.9484536082474226,0.8016528925619835,0.011210647846091874,71.7
171,Super Mario Maker 2,switch,88,98,7.4,14.08,10.74,0.9072164948453608,0.8099173553719008,0.012186473468322545,69.9
139,Resident Evil 4,gamecube,96,82,0.0,0.0,0.0,0.9896907216494846,0.6776859504132231,0.0,69.82
195,The Legend of Zelda The Wind Waker,gamecube,96,80,0.0,0.0,0.0,0.9896907216494846,0.6611570247933884,0.0,69.32
194,The Legend of Zelda The Wind Waker,gamecube,96,80,0.0,0.0,0.0,0.9896907216494846,0.6611570247933884,0.0,69.32
208,Uncharted: The Lost Legacy,playstation-4,84,104,7.15,8.69,7.92,0.865979381443299,0.859504132231405,0.008986673172170815,69.26
169,Super Mario Galaxy,wii,97,73,13.85,22.04,17.945,1.0,0.6033057851239669,0.020361849756894607,68.51
193,The Legend of Zelda Skyward Sword,wii,93,81,0.0,0.0,0.0,0.9587628865979382,0.6694214876033058,0.0,68.02
173,Super Smash Bros Brawl,wii,93,81,0.0,0.0,0.0,0.9587628865979382,0.6694214876033058,0.0,68.02
196,The Legend of Zelda Twilight Princess,wii,95,73,0.0,0.0,0.0,0.979381443298969,0.6033057851239669,0.0,67.07
102,Ni no Kuni: Wrath of the White Witch,playstation-3,85,89,44.32,56.41,50.364999999999995,0.8762886597938144,0.7355371900826446,0.05714820635307867,67.02
6,Bayonetta 2,wii-u,91,80,9.1,12.51,10.805,0.9381443298969072,0.6611570247933884,0.012260227730467886,66.99
215,Xenoblade Chronicles X,wii-u,84,87,67.98,109.1,88.53999999999999,0.865979381443299,0.71900826446281,0.10046465185151565,66.88
19,Demon's Souls,playstation-3,89,81,28.99,42.31,35.65,0.9175257731958762,0.6694214876033058,0.04045137608432949,66.77
126,Pokemon Sun,3ds,87,87,0.0,0.0,0.0,0.8969072164948454,0.71900826446281,0.0,66.42
21,Detroit: Become Human,playstation-4,78,104,11.99,15.51,13.75,0.8041237113402062,0.859504132231405,0.015601863146129888,66.3
191,The Legend of Zelda Majora's Mask 3D,3ds,89,82,0.0,0.0,0.0,0.9175257731958762,0.6776859504132231,0.0,66.21
82,Mario Kart 8,wii-u,88,82,5.74,18.66,12.2,0.9072164948453608,0.6776859504132231,0.013843107664202518,65.97
76,Kingdom Hearts III,playstation-4,83,88,28.82,39.74,34.28,0.8556701030927835,0.7272727272727273,0.038896863174496914,65.38
199,The Witness,playstation-4,87,82,0.0,4.03,2.015,0.8969072164948454,0.6776859504132231,0.00228638212650558,65.22
63,inFamous 2,playstation-3,83,90,0.0,0.0,0.0,0.8556701030927835,0.743801652892562,0.0,65.1
101,New Super Mario Bros wii,wii,87,80,0.0,0.0,0.0,0.8969072164948454,0.6611570247933884,0.0,64.68
519,Dragon Age: Origins,pc,91,67,40.35,58.42,49.385000000000005,0.9381443298969072,0.5537190082644629,0.056036219016118154,64.64
50,Final Fantasy XIII,playstation-3,83,83,48.1,61.46,54.78,0.8556701030927835,0.6859504132231405,0.06215782277418148,64.61
515,Total War: Warhammer,pc,86,77,34.54,64.18,49.36,0.8865979381443299,0.6363636363636364,0.05600785199221609,64.54
93,Metroid Samus Returns,3ds,85,83,0.0,0.0,0.0,0.8762886597938144,0.6859504132231405,0.0,64.39
57,Grand Theft Auto Vice City,playstation-2,95,62,0.0,0.0,0.0,0.979381443298969,0.512396694214876,0.0,64.34
8,Batman Arkham Asylum,playstation-3,91,70,0.0,0.0,0.0,0.9381443298969072,0.5785123966942148,0.0,64.26
20,Destiny,playstation-4,76,95,11.76,57.92,34.84,0.7835051546391752,0.7851239669421488,0.03953228450990293,63.52
